entry_date,exit_date,direction,entry_price,exit_price,shares,entry_notional,exit_notional,commission_paid,slippage_cost,gross_pnl,net_pnl,return_pct,holding_days
2011-01-27,2011-01-28,1,46.94245949999999,47.392292,1952.0,91631.68094399998,92509.753984,19.52,92.07095999998705,878.0730400000127,858.5530400000127,0.009369609191440142,1
2011-01-31,2011-02-01,1,47.1165465,48.4007875,1963.0,92489.7807795,95010.7458625,19.63,93.75091699998453,2520.965083000003,2501.3350830000027,0.027044448174910304,1
2011-02-02,2011-02-03,-1,48.02097750000001,49.414694999999995,1978.0,94985.49349500002,97742.26671,19.78,96.36321499997622,-2756.773214999974,-2776.553214999974,-0.029231339574459652,1
2011-02-04,2011-02-07,-1,48.99948800000001,49.030502999999996,1882.0,92217.03641600002,92275.40664599999,18.82,92.24622999998125,-58.37022999997997,-77.19022999997998,-0.0008370495626401107,1
2011-02-08,2011-02-09,1,50.1140445,49.29534,1838.0,92109.613791,90604.83492000001,18.38,91.35687099999477,-1504.7788709999918,-1523.158870999992,-0.01653637235366217,1
2011-02-10,2011-02-11,-1,48.833571,48.637306499999994,1855.0,90586.274205,90222.20355749999,18.55,90.40435249998566,364.0706475000096,345.5206475000096,0.0038142715387331633,1
2011-02-14,2011-02-15,1,49.310643,50.1818965,1844.0,90928.825692,92535.417146,18.44,91.73254599999575,1606.591454000003,1588.151454000003,0.017465874456352184,1
2011-02-16,2011-02-17,1,50.52525,50.989492500000004,1831.0,92511.73275,93361.7607675,18.31,92.9369824999927,850.0280175000083,831.7180175000084,0.008990405787205499,1
2011-02-18,2011-02-22,-1,51.495239500000004,51.1105425,1813.0,93360.8692135,92663.4135525,18.13,93.01233899999494,697.455661000005,679.325661000005,0.0072763425054077615,1
2011-02-23,2011-02-24,-1,52.027973,50.455214999999995,1808.0,94066.575184,91223.02871999999,18.080000000000002,92.64553599999078,2843.5464640000137,2825.4664640000137,0.03003688035280574,1
2011-02-25,2011-02-28,-1,51.426274,52.342158,1884.0,96887.10021599999,98612.625672,18.84,97.74945599998878,-1725.525455999997,-1744.3654559999968,-0.018004104283347425,1
2011-03-01,2011-03-02,-1,53.06745300000001,53.1375555,1792.0,95096.87577600002,95222.49945599999,17.92,95.15967999998975,-125.62367999998241,-143.54367999998243,-0.0015094468543645797,1
2011-03-03,2011-03-04,-1,52.3428155,52.7793765,1815.0,95002.2101325,95794.5683475,18.150000000000002,95.3982149999949,-792.3582149999955,-810.5082149999955,-0.008531466940290928,1
2011-03-07,2011-03-08,-1,52.359807,51.939957,1799.0,94195.292793,93439.982643,17.990000000000002,93.81784999999546,755.3101500000068,737.3201500000068,0.007827568959526604,1
2011-03-09,2011-03-10,-1,51.434270000000005,49.6758255,1845.0,94896.22815000001,91651.8980475,18.45,93.27489749998972,3244.3301025000055,3225.8801025000057,0.03399376524640095,1
2011-03-11,2011-03-14,1,50.5422585,50.404785000000004,1942.0,98153.066007,97886.09247,19.42,98.01953699999106,-266.97353699999746,-286.3935369999975,-0.0029178256844220505,1
2011-03-15,2011-03-16,-1,49.287344,48.270123,1985.0,97835.37784,95816.19415499999,19.85,96.82631499999232,2019.1836849999986,1999.3336849999987,0.020435692375714125,1
2011-03-17,2011-03-18,1,48.672324,49.401287,2051.0,99826.936524,101322.03963700001,20.51,100.5748869999968,1495.1031130000006,1474.5931130000006,0.01477149519303825,1
2011-03-21,2011-03-22,1,50.699337,50.832571,1998.0,101297.275326,101563.47685800001,19.98,101.43046799999175,266.2015320000032,246.22153200000324,0.002430682673424341,1
2011-03-23,2011-03-24,-1,52.595689,52.430202,1931.0,101562.275459,101242.72006200001,19.31,101.40260299999534,319.55539699999775,300.24539699999775,0.0029562689063736543,1
2011-03-25,2011-03-28,-1,51.950012,51.1185465,1961.0,101873.973532,100243.4696865,19.61,101.05915449999094,1630.5038455000004,1610.8938455000005,0.015812614249251764,1
2011-03-29,2011-03-30,-1,51.102436000000004,52.115044499999996,2025.0,103482.43290000001,105532.9651125,20.25,104.5072124999864,-2050.5322124999834,-2070.7822124999834,-0.02001095407663133,1
2011-03-31,2011-04-01,1,52.52625,52.167903,1931.0,101428.18875,100736.22069300001,19.31,101.08205699999513,-691.96805699999,-711.27805699999,-0.007012627019823323,1
2011-04-04,2011-04-05,-1,52.158907500000005,54.762367499999996,1931.0,100718.85038250001,105746.1316425,19.31,103.23125999998854,-5027.281259999983,-5046.591259999984,-0.050105727387023805,1
2011-04-06,2011-04-07,-1,54.777597500000006,54.6663195,1746.0,95641.68523500001,95447.393847,17.46,95.54461199998438,194.29138800001004,176.83138800001004,0.001848894522984615,1
2011-04-08,2011-04-11,-1,55.77309950000001,54.265119,1718.0,95818.18494100001,93227.47444199999,17.18,94.52350099998817,2590.7104990000157,2573.530499000016,0.026858476818201738,1
2011-04-12,2011-04-13,-1,53.329322000000005,53.224599,1845.0,98392.59909,98199.385155,18.45,98.29606499998938,193.21393500001292,174.76393500001294,0.0017761898416785986,1
2011-04-14,2011-04-15,1,53.844908999999994,53.617178,1831.0,98590.028379,98173.052918,18.31,98.38146099998531,-416.97546099998436,-435.28546099998437,-0.004415106356665799,1
